Type,Event,Time,TimeEvent,Offset,trial_index,X,Y,Pupil,event,Start,End,Duration,Eye,Start_X,Start_Y,End_X,End_Y,Amplitude,Peak_Velocity
Message,initialize,895.668,39.398997083335416,0.0,1,,,,,,,,,,,,,,
Message,start recording,895.668,39.39908362500137,0.0,1,,,,,,,,,,,,,,
Gaze,,,39.406083625001315,,1,975.0,577.6,1877.0,start recording,,,,,,,,,,
Gaze,,,39.407083625001405,,1,974.9,577.4,1873.0,start recording,,,,,,,,,,
Gaze,,,39.40808362500138,,1,974.5,577.5,1868.0,start recording,,,,,,,,,,
Gaze,,,39.40908362500136,,1,974.5,577.5,1863.0,start recording,,,,,,,,,,
Gaze,,,39.410083625001334,,1,974.6,577.3,1859.0,start recording,,,,,,,,,,
Gaze,,,39.41108362500131,,1,974.4,577.5,1857.0,start recording,,,,,,,,,,
Gaze,,,39.4120836250014,,1,974.0,577.7,1855.0,start recording,,,,,,,,,,
Gaze,,,39.41308362500138,,1,973.5,577.6,1855.0,start recording,,,,,,,,,,
Gaze,,,39.41408362500135,,1,973.4,577.2,1855.0,start recording,,,,,,,,,,
Gaze,,,39.41508362500133,,1,973.4,576.9,1853.0,start recording,,,,,,,,,,
Gaze,,,39.416083625001306,,1,973.8,577.1,1852.0,start recording,,,,,,,,,,
Gaze,,,39.417083625001396,,1,974.4,577.1,1852.0,start recording,,,,,,,,,,
Gaze,,,39.41808362500137,,1,974.9,577.1,1848.0,start recording,,,,,,,,,,
Gaze,,,39.41908362500135,,1,974.9,577.0,1839.0,start recording,,,,,,,,,,
Gaze,,,39.420083625001325,,1,974.8,576.8,1825.0,start recording,,,,,,,,,,
Gaze,,,39.421083625001415,,1,975.2,576.5,1815.0,start recording,,,,,,,,,,
Gaze,,,39.42208362500139,,1,975.6,576.2,1808.0,start recording,,,,,,,,,,
Gaze,,,39.42308362500137,,1,975.9,576.1,1806.0,start recording,,,,,,,,,,
Gaze,,,39.424083625001344,,1,975.8,576.8,1803.0,start recording,,,,,,,,,,
Gaze,,,39.42508362500132,,1,975.9,577.4,1801.0,start recording,,,,,,,,,,
Gaze,,,39.42608362500141,,1,975.9,577.4,1800.0,start recording,,,,,,,,,,
Gaze,,,39.42708362500139,,1,976.1,576.8,1794.0,start recording,,,,,,,,,,
Gaze,,,39.42808362500136,,1,976.1,576.1,1785.0,start recording,,,,,,,,,,
Gaze,,,39.42908362500134,,1,976.1,576.1,1777.0,start recording,,,,,,,,,,
Gaze,,,39.430083625001316,,1,976.1,576.1,1776.0,start recording,,,,,,,,,,
Gaze,,,39.431083625001406,,1,976.1,576.2,1777.0,start recording,,,,,,,,,,
Gaze,,,39.43208362500138,,1,976.1,575.8,1771.0,start recording,,,,,,,,,,
Gaze,,,39.43308362500136,,1,976.1,575.4,1763.0,start recording,,,,,,,,,,
Gaze,,,39.434083625001335,,1,975.9,575.1,1755.0,start recording,,,,,,,,,,
Gaze,,,39.43508362500131,,1,975.8,574.9,1750.0,start recording,,,,,,,,,,
Gaze,,,39.4360836250014,,1,975.7,574.7,1742.0,start recording,,,,,,,,,,
Gaze,,,39.43708362500138,,1,975.7,574.3,1735.0,start recording,,,,,,,,,,
Gaze,,,39.438083625001354,,1,975.7,574.0,1732.0,start recording,,,,,,,,,,
Gaze,,,39.43908362500133,,1,976.0,573.8,1728.0,start recording,,,,,,,,,,
Gaze,,,39.44008362500131,,1,976.2,573.7,1726.0,start recording,,,,,,,,,,
Gaze,,,39.4410836250014,,1,976.2,573.6,1722.0,start recording,,,,,,,,,,
Gaze,,,39.44208362500137,,1,976.0,573.5,1720.0,start recording,,,,,,,,,,
Gaze,,,39.44308362500135,,1,975.8,573.4,1718.0,start recording,,,,,,,,,,
Gaze,,,39.444083625001326,,1,975.7,573.4,1714.0,start recording,,,,,,,,,,
Gaze,,,39.445083625001416,,1,975.5,573.3,1710.0,start recording,,,,,,,,,,
Gaze,,,39.44608362500139,,1,975.2,573.1,1707.0,start recording,,,,,,,,,,
Gaze,,,39.44708362500137,,1,974.9,572.7,1703.0,start recording,,,,,,,,,,
Gaze,,,39.448083625001345,,1,974.9,572.6,1699.0,start recording,,,,,,,,,,
Gaze,,,39.44908362500132,,1,975.0,572.5,1695.0,start recording,,,,,,,,,,
Gaze,,,39.45008362500141,,1,974.9,572.6,1693.0,start recording,,,,,,,,,,
Gaze,,,39.45108362500139,,1,974.5,572.5,1688.0,start recording,,,,,,,,,,
